"Izard| AR",0,20,1,19,177,64,16,5616,833,196,751,423,13276,2772,20.9,3769,678,677,787,940,309,32488,178,66,2154,10337,508
"Jackson| AR",6,87,1,78,528,146,75,8979,735,487,1331,0,18351,4063,22.1,6333,1466,1025,1087,1228,407,39254,218,111,2920,13820,639
"Jefferson| AR",268,1222,14,871,5657,1765,378,43383,851,2088,6834,1851,84218,22120,26.3,27520,6119,5424,5350,4948,1537,42211,2127,814,16203,62718,3464
"Johnson| AR",2,9,0,7,490,105,33,11446,777,0,2412,500,22799,5726,25.1,8896,1556,1492,1466,1274,412,40626,311,140,3645,18541,805
"Lafayette| AR",2,7,2,1,61,33,7,2945,372,186,304,129,8527,2167,25.4,2204,476,426,477,659,229,37027,171,34,1951,6450,440
"Lawrence| AR",2,41,0,39,217,58,11,8442,949,507,1258,357,17679,4221,23.9,5584,1115,1062,1088,1224,398,34500,243,69,3166,14013,698
"Lee| AR",8,60,0,51,578,238,44,4136,610,149,502,151,12528,3261,26,3795,907,956,853,1032,381,33265,78,38,3230,7562,745
"Lincoln| AR",2,30,1,26,115,38,2,4747,682,268,425,104,14474,3204,22.1,5840,1332,1200,1097,704,204,38896,236,53,2189,9020,485
"Little River| AR",2,20,0,15,264,40,10,6576,519,809,779,232,13610,3414,25.1,4066,792,826,818,873,232,39404,317,162,2076,11408,467
"Logan| AR",0,11,0,11,246,158,5,9393,1130,254,1346,470,22504,5821,25.9,6712,1166,1325,1369,1273,488,37264,319,111,3401,18634,729
"Lonoke| AR",7,115,0,102,1328,178,118,17820,1435,704,3429,1154,53124,15247,28.7,24835,2869,3414,3832,1806,798,46469,1767,705,5490,46616,1217
"Madison| AR",0,63,1,62,122,50,8,6101,1421,237,696,262,14296,3826,26.8,4899,735,794,860,830,360,38101,208,69,2616,11475,599
"Marion| AR",0,48,0,47,197,55,17,6734,586,189,875,407,16156,3559,22,4094,622,697,786,1015,423,33744,212,81,2429,13505,562
"Miller| AR",55,323,2,241,2035,380,102,20268,630,1541,3553,816,40434,10715,26.5,15553,2742,2775,2859,2462,843,43411,930,390,7602,31795,1726
"Mississippi| AR",71,384,7,280,2633,725,150,27521,1448,1058,3698,1128,51827,15334,29.6,15767,3559,3362,3385,3617,1091,38000,1116,397,11752,39318,2651
"Monroe| AR",12,27,2,13,84,29,15,4455,535,244,829,299,10179,2835,27.9,2317,506,518,523,936,348,34201,109,28,2770,7319,579
"Montgomery| AR",0,46,1,44,108,31,10,3804,523,134,382,241,9270,2178,23.5,2486,376,444,559,554,209,34776,118,33,1552,7574,358
"Nevada| AR",4,15,0,9,100,60,7,3562,457,254,414,84,9920,2495,25.2,2763,566,597,609,784,263,38298,143,59,2249,7633,506
"Newton| AR",2,16,0,14,59,11,2,2900,600,131,274,0,8647,2146,24.8,2307,452,424,476,652,246,32751,64,34,1735,6778,397
"Ouachita| AR",25,149,1,113,914,189,41,10827,229,500,2046,536,28685,7415,25.8,7781,1529,1540,1622,1998,663,37837,493,224,5561,22925,1302
"Perry| AR",0,14,2,11,138,24,14,2810,471,110,305,166,10236,2586,25.3,3287,504,615,687,542,183,42164,199,94,1408,8616,310
"Phillips| AR",38,113,2,66,820,421,57,10542,776,440,1604,482,26268,8447,32.2,6610,1635,1400,1372,2376,731,36100,283,154,8543,17571,1957
"Pike| AR",0,0,0,0,35,25,4,4804,575,246,710,361,11321,2819,24.9,3536,563,697,671,731,236,39409,213,63,1862,9237,415
"Poinsett| AR",1,184,2,176,1029,309,61,10148,1142,569,1352,574,25617,6674,26.1,8019,1568,1663,1585,1897,626,34873,386,116,5340,19830,1265
"Polk| AR",0,30,2,25,214,40,19,10863,1003,712,1622,545,20262,5168,25.5,5879,1074,1133,1235,1212,486,36714,280,79,3634,16330,817
